Date,open,high,low,close,volume
2015-01-02,26.38,26.49,26.13,26.17,28951268
2015-01-05,26.09,26.14,25.58,25.62,41196796
2015-01-06,25.68,25.74,24.98,25.03,57998800
2015-01-07,25.28,25.29,24.91,24.99,41301082
2015-01-08,24.83,25.11,24.48,25.07,67071641
2015-01-09,25.17,25.18,24.67,24.74,41427428
2015-01-12,24.68,24.73,24.31,24.56,46535413
2015-01-13,24.87,25.08,24.55,24.74,47409807
2015-01-14,24.66,25.09,24.58,24.97,44714427
2015-01-15,25.21,25.21,24.82,25.02,54316718
2015-01-16,24.93,25.34,24.93,25.33,45965854
2015-01-20,25.48,25.55,25.23,25.28,44640224
2015-01-21,25.29,25.89,25.24,25.83,45374234
2015-01-22,26.0,26.74,25.91,26.65,53538588
2015-01-23,26.71,27.03,26.58,26.92,45634948
2015-01-26,26.85,26.88,26.41,26.69,30874534
2015-01-27,26.43,26.46,25.84,25.86,38080263
2015-01-28,26.07,26.08,25.43,25.43,33676205
2015-01-29,25.48,25.48,24.99,25.46,83727244
2015-01-30,25.72,26.92,25.71,26.65,112127002
2015-02-02,26.51,26.58,25.86,26.35,56996054
2015-02-03,26.33,26.6,26.09,26.39,40773638
2015-02-04,26.39,26.56,25.99,26.07,33273101
2015-02-05,26.12,26.35,26.03,26.31,36995292
2015-02-06,26.31,26.79,26.25,26.48,35270570
2015-02-09,26.33,26.53,26.23,26.32,25355423
2015-02-10,26.39,26.81,26.27,26.77,34997823
2015-02-11,26.69,26.85,26.6,26.73,27555446
2015-02-12,26.79,27.17,26.66,27.07,32404724
2015-02-13,27.09,27.42,27.08,27.38,38006060
2015-02-17,27.27,27.42,26.98,27.07,32336537
2015-02-18,27.0,27.2,26.8,26.91,29061570
2015-02-19,26.83,27.08,26.83,27.07,19782163
2015-02-20,27.08,27.11,26.72,26.87,28887092
2015-02-23,26.73,26.75,26.4,26.52,29157834
2015-02-24,26.43,26.77,26.34,26.73,20101036
2015-02-25,26.72,27.24,26.7,27.12,36519991
2015-02-26,27.09,27.73,27.0,27.7,46230579
2015-02-27,27.64,28.16,27.57,27.84,48203982
2015-03-02,27.95,28.53,27.86,28.49,42592618
2015-03-03,28.44,28.69,28.25,28.6,34095352
2015-03-04,28.52,28.78,28.32,28.59,37536775
2015-03-05,28.67,28.82,28.59,28.69,27792094
2015-03-06,28.67,28.76,28.26,28.31,33182854
2015-03-09,28.27,28.44,28.1,28.36,21242161
2015-03-10,28.14,28.17,27.66,27.67,35846146
2015-03-11,27.68,27.83,27.46,27.48,36415706
2015-03-12,27.6,27.74,27.45,27.7,27792094
2015-03-13,27.6,27.84,27.14,27.29,34071287
2015-03-16,27.47,27.77,27.23,27.65,32819860
2015-03-17,27.51,27.61,27.32,27.47,36110871
2015-03-18,27.55,27.91,27.28,27.9,42690887
2015-03-19,27.89,27.96,27.73,27.82,23945563
2015-03-20,28.01,28.01,27.88,27.94,52337299
2015-03-23,27.94,28.04,27.72,27.86,32876014
2015-03-24,28.05,28.65,27.98,28.43,51665459
2015-03-25,28.45,28.53,27.86,27.86,43045859
2015-03-26,27.8,27.87,27.46,27.68,31452115
2015-03-27,27.57,27.69,27.33,27.34,37949906
2015-03-30,27.51,27.6,27.33,27.53,25750504
2015-03-31,27.42,27.66,27.26,27.32,31760961
2015-04-01,27.35,27.48,26.9,27.05,39261497
2015-04-02,26.97,26.97,26.62,26.7,34327989
2015-04-06,26.54,26.85,26.41,26.76,26488525
2015-04-07,26.83,27.06,26.73,26.78,26057345
2015-04-08,26.85,27.12,26.85,27.01,23570536
2015-04-09,26.98,27.02,26.7,26.96,31157308
2015-04-10,27.04,27.04,26.79,26.93,28189181
2015-04-13,26.85,27.13,26.79,26.88,32906096
2015-04-14,26.74,26.8,26.33,26.45,52082601
2015-04-15,26.36,26.66,26.09,26.55,46376979
2015-04-16,26.42,26.71,26.41,26.62,25997180
2015-04-17,26.36,26.42,25.98,26.13,43037837
2015-04-20,26.21,26.73,26.15,26.7,33585958
2015-04-21,26.8,26.9,26.61,26.63,36895018
2015-04-22,26.65,26.98,26.51,26.89,31871263
2015-04-23,26.98,27.47,26.94,27.28,83697161
2015-04-24,28.23,28.48,27.79,28.18,98650102
2015-04-27,28.17,28.3,27.66,27.77,47960000
2015-04-28,27.73,27.8,27.52,27.68,29820000
2015-04-29,27.52,27.68,27.35,27.45,33976000
2015-04-30,27.39,27.43,26.75,26.87,41644000
2015-05-01,26.92,26.98,26.6,26.9,35364000
2015-05-04,26.93,27.2,26.75,27.04,26160000
2015-05-05,26.91,26.99,26.52,26.54,27662000
2015-05-06,26.56,26.62,26.05,26.21,31340000
2015-05-07,26.2,26.67,26.09,26.53,30926000
2015-05-08,26.83,27.06,26.25,26.91,30552000
2015-05-11,26.92,27.1,26.77,26.78,18106000
2015-05-12,26.58,26.66,26.26,26.45,32684000
2015-05-13,26.53,26.72,26.43,26.48,25046000
2015-05-14,26.69,26.95,26.62,26.92,28078000
2015-05-15,26.96,26.96,26.52,26.69,39426000
2015-05-18,26.6,26.74,26.44,26.61,40068000
2015-05-19,26.7,27.03,26.65,26.87,39338000
2015-05-20,26.92,27.15,26.65,26.96,28616000
2015-05-21,26.9,27.19,26.8,27.13,29254000
2015-05-22,27.01,27.21,26.98,27.01,23524000
2015-05-26,26.91,26.95,26.49,26.62,48130000
2015-05-27,26.64,27.03,26.59,26.99,30500000
2015-05-28,26.9,27.03,26.81,26.99,20596000
2015-05-29,26.87,26.93,26.57,26.61,51948000
2015-06-01,26.84,26.84,26.49,26.7,38086000
2015-06-02,26.65,27.15,26.57,26.96,38780000
2015-06-03,27.0,27.17,26.86,27.02,34340000
2015-06-04,26.89,27.03,26.72,26.83,26966000
2015-06-05,26.82,26.86,26.63,26.67,27764000
2015-06-08,26.67,26.71,26.31,26.34,30412000
2015-06-09,26.38,26.46,26.15,26.33,29106000
2015-06-10,26.47,26.92,26.47,26.83,36300000
